zipcode,County,ZHVI,id,name,brewery_type,street,city,state,country,longitude,latitude,phone,website_url
77449,Harris County,292948.0,,,,,,,,,,,
77494,Fort Bend County,503109.0,battlehops-brewing-katy,BattleHops Brewing,planning,,Katy,Texas,United States,,,8323245284,http://www.battlehopsbrewing.com
79936,El Paso County,198137.0,blazing-tree-brewery-el-paso,Blazing Tree Brewery,micro,11426 Rojas Dr Ste A13,El Paso,Texas,United States,,,9153073627,
11368,Queens County,590722.0,mikkeller-brewing-nyc-flushing,Mikkeller Brewing NYC,brewpub,12001 Roosevelt Ave,Flushing,New York,United States,,,9175720357,http://mikkellernyc.com
11385,Queens County,793924.0,bridge-and-tunnel-brewery-ridgewood,Bridge And Tunnel Brewery,micro,15-35 Decatur St,Ridgewood,New York,United States,-73.9017521,40.6943348,3473928593,http://www.bridgeandtunnelbrewery.com
11385,Queens County,793924.0,finback-brewery-queens,Finback Brewery,micro,78-01 77th Ave,Queens,New York,United States,-73.8732597,40.7067227,7186288600,http://www.finbackbrewery.com
11385,Queens County,793924.0,queens-brewery-ridgewood,Queens Brewery,proprietor,1539 Covert St,Ridgewood,New York,United States,-73.90428508,40.6949116,6462652049,http://www.queensbrewery.com
90011,Los Angeles County,591534.0,,,,,,,,,,,
60629,Cook County,262805.0,,,,,,,,,,,
77084,Harris County,283920.0,,,,,,,,,,,
91331,Los Angeles County,698146.0,,,,,,,,,,,
90650,Los Angeles County,668401.0,,,,,,,,,,,
8701,Ocean County,559104.0,icarus-brewing-company-lakewood,Icarus Brewing Company,micro,1790 Swarthmore Ave Unit 3 Lot 2,Lakewood,New Jersey,United States,,,,http://www.icarusbrewing.com
11236,Kings County,647645.0,,,,,,,,,,,
90201,Los Angeles County,614680.0,,,,,,,,,,,
92335,San Bernardino County,534650.0,,,,,,,,,,,
11208,Kings County,687746.0,,,,,,,,,,,
10467,Bronx County,468675.0,,,,,,,,,,,
11226,Kings County,849415.0,island-to-island-brewery-brooklyn,Island To Island Brewery,brewpub,642 Rogers Ave,Brooklyn,New York,United States,-73.95325995,40.6558144,3479741985,http://www.islandtoislandbrewery.com
78660,Travis County,465399.0,compadre-brewing-aound-rock,Compadre Brewing,planning,,Aound Rock,Texas,United States,,,3615103472,http://www.compadrebrewing.com
78660,Travis County,465399.0,flying-man-brewing-company-austin,Flying Man Brewing Company,micro,2400 Patterson Industrial,Austin,Texas,United States,,,5129104099,http://www.flyingmanbrewing.com
92503,Riverside County,604746.0,delicious-science-brewing-riverside,Delicious Science Brewing,closed,11626 Sterling Ave Ste G,Riverside,California,United States,-117.48500522945648,33.89543378612792,9513522739,http://www.delicioussciencebreing.com
92503,Riverside County,604746.0,route-30-brewing-company-riverside,Route 30 Brewing Company,micro,9860 Indiana Ave Ste 19,Riverside,California,United States,-117.44722970247034,33.90998596936973,9517767083,
92503,Riverside County,604746.0,thompson-brewing-co-riverside,Thompson Brewing Co,brewpub,9900 Indiana Ave Ste 7,Riverside,California,United States,-117.4495246601418,33.90930805448035,9519560480,http://www.thompsonbrewing.com
92503,Riverside County,604746.0,wicks-brewing-company-llc-riverside,Wicks Brewing Company LLC,brewpub,11620 Sterling Ave Ste C,Riverside,California,United States,-117.48443100247067,33.89574075236698,9516892739,http://wicksbrewing.com
90250,Los Angeles County,845518.0,common-space-brewery-hawthorne,Common Space Brewery,micro,3411 W El Segundo Blvd,Hawthorne,California,United States,-118.3328574,33.91653119,3106662825,http://www.commonspace.la
90250,Los Angeles County,845518.0,los-angeles-ale-works-hawthorne,Los Angeles Ale Works,micro,12918 Cerise Ave,Hawthorne,California,United States,-118.3322768,33.9149155,4244564191,http://www.laaleworks.com
90044,Los Angeles County,625447.0,,,,,,,,,,,
90805,Los Angeles County,651066.0,,,,,,,,,,,
90280,Los Angeles County,617130.0,,,,,,,,,,,
93307,Kern County,288139.0,,,,,,,,,,,
91342,Los Angeles County,739525.0,,,,,,,,,,,
92683,Orange County,936510.0,,,,,,,,,,,
92336,San Bernardino County,682253.0,,,,,,,,,,,
11373,Queens County,603092.0,,,,,,,,,,,
60618,Cook County,553276.0,half-acre-beer-co-chicago,Half Acre Beer Co,regional,4257 N Lincoln Ave,Chicago,Illinois,United States,-87.6820201,41.9591945,7737548488,http://www.halfacrebeer.com
60618,Cook County,553276.0,metropolitan-brewing-chicago,Metropolitan Brewing,micro,3057 N Rockwell St,Chicago,Illinois,United States,-87.6912391,41.9376382,7734746489,http://www.metrobrewing.com
60618,Cook County,553276.0,revolution-brewing-chicago,Revolution Brewing,regional,3340 N Kedzie Ave,Chicago,Illinois,United States,-87.707534,41.9289777,7735882267,http://www.revbrew.com
60618,Cook County,553276.0,twisted-hippo-chicago,Twisted Hippo,contract,2925 W Montrose Ave,Chicago,Illinois,United States,-87.7019463,41.961125,7088447768,http://Www.twistedhippo.com
94565,Contra Costa County,757845.0,ej-phair-brewing-co-pittsburg,E.J. Phair Brewing Co.,micro,300 Cumberland St,Pittsburg,California,United States,-121.8824742,38.0330804,9252529895,http://www.ejphair.com
11234,Kings County,728586.0,,,,,,,,,,,
11220,Kings County,793575.0,five-boroughs-brewing-co-brooklyn,Five Boroughs Brewing Co,micro,215 47th St,Brooklyn,New York,United States,-74.0144263,40.6505216,7183558575,http://www.fiveboroughs.com
78521,Cameron County,157241.0,,,,,,,,,,,
60639,Cook County,327324.0,,,,,,,,,,,
75052,Dallas County,348335.0,,,,,,,,,,,
11207,Kings County,573956.0,,,,,,,,,,,
77433,Harris County,439083.0,wicked-boxer-brewing-cypress,Wicked Boxer Brewing,brewpub,16326 Mueschke Rd # E10,Cypress,Texas,United States,-95.7172092,29.9809872,2819781866,http://www.wickedboxer.com
11214,Kings County,721114.0,,,,,,,,,,,
30044,Gwinnett County,358023.0,,,,,,,,,,,
10025,New York County,1223477.0,,,,,,,,,,,
91911,San Diego County,705642.0,bay-bridge-brewing-co-chula-vista,Bay Bridge Brewing Co,micro,688 Marsat Ct Ste B,Chula Vista,California,United States,-117.08303118715818,32.60126399564251,6199347371,http://www.baybridgebrewing.com
91911,San Diego County,705642.0,sanctum-alehouse-chula-vista,Sanctum Alehouse,brewpub,2638 Main St Ste M,Chula Vista,California,United States,-117.07678716017246,32.595809260339415,,
10456,Bronx County,455498.0,,,,,,,,,,,
10314,Richmond County,655388.0,,,,,,,,,,,
77479,Fort Bend County,524741.0,,,,,,,,,,,
11219,Kings County,937297.0,,,,,,,,,,,
37013,Davidson County,389166.0,,,,,,,,,,,
60647,Cook County,516777.0,buchanan-craft-llc-chicago,Buchanan Craft LLC,planning,,Chicago,Illinois,United States,,,6307722199,
60647,Cook County,516777.0,hopewell-brewing-co-chicago,Hopewell Brewing Co,micro,2760 N Milwaukee Ave,Chicago,Illinois,United States,-87.7878762,41.9973481,7736986178,http://www.hopewellbrewing.com
60647,Cook County,516777.0,maplewood-brewing-company-chicago,Maplewood Brewing Company,micro,2717 N Maplewood Ave,Chicago,Illinois,United States,-87.69106414,41.93075205,7732701061,http://www.maplewoodbrew.com
60647,Cook County,516777.0,middle-brow-beer-company-chicago,Middle Brow Beer Company,micro,2840 W Armitage Ave,Chicago,Illinois,United States,-87.6988905,41.9177811,7088465511,http://www.middlebrowbeer.com
60647,Cook County,516777.0,off-color-brewing-chicago,Off Color Brewing,micro,3925 W Dickens Ave,Chicago,Illinois,United States,-87.72538437,41.91892697,,http://www.offcolorbrewing.com
60647,Cook County,516777.0,pipeworks-brewing-co-chicago-1,Pipeworks Brewing Co,micro,3912 W McLean Ave Ste B,Chicago,Illinois,United States,,,8479109493,http://pipeworksbrewing.com
60647,Cook County,516777.0,pipeworks-brewing-co-chicago-2,Pipeworks Brewing Co,micro,,Chicago,Illinois,United States,,,8479109493,
60647,Cook County,516777.0,revolution-brewing-brewpub-chicago,Revolution Brewing - Brewpub,brewpub,2323 N Milwaukee Ave,Chicago,Illinois,United States,-87.6981447,41.923586,7732272739,http://www.revbrew.com
60632,Cook County,274730.0,,,,,,,,,,,
92804,Orange County,836921.0,,,,,,,,,,,
92154,San Diego County,698114.0,,,,,,,,,,,
77573,Galveston County,382761.0,,,,,,,,,,,
11221,Kings County,1201910.0,,,,,,,,,,,
77429,Harris County,386870.0,,,,,,,,,,,
