id,name,brewery_type
10-56-brewing-company-knox,10-56 Brewing Company,micro
10-barrel-brewing-co-bend-1,10 Barrel Brewing Co,large
10-barrel-brewing-co-bend-pub-bend,10 Barrel Brewing Co - Bend Pub,large
bend-brewing-high-desert-bend,Bend Brewing High Desert,closed
bevel-craft-brewing-bend,Bevel Craft Brewing,planning
boneyard-beer-co-bend-2,Boneyard Beer Co,brewpub
bridge-99-brewery-bend,Bridge 99 Brewery,micro
craft-kitchen-and-brewery-bend,Craft Kitchen and Brewery,brewpub
crux-fermentation-project-crux2-bend,Crux Fermentation Project - Crux2,micro
goodlife-brewing-company-bend,GoodLife Brewing Company,regional
monkless-belgian-ales-bend,Monkless Belgian Ales,micro
oblivion-brewing-co-bend,Oblivion Brewing Co,micro
worthy-brewing-company-bend,Worthy Brewing Company,micro
10-barrel-brewing-co-bend-2,10 Barrel Brewing Co,large
bend-brewing-co-bend,Bend Brewing Co,brewpub
boneyard-beer-co-bend-1,Boneyard Beer Co,micro
deschutes-brewery-and-public-house-bend,Deschutes Brewery & Public House,brewpub
mcmenamins-old-st-francis-school-bend,McMenamins Old St. Francis School,brewpub
riverbend-brewing-pub-bend,RiverBend Brewing Pub,closed
silver-moon-brewing-bend,Silver Moon Brewing,micro
10-barrel-brewing-co-boise-boise,10 Barrel Brewing Co - Boise,large
barbarian-brewing-downtown-taproom-boise,Barbarian Brewing - Downtown Taproom,micro
boise-brewing-boise,Boise Brewing,micro
clairvoyant-brewing-boise-boise,Clairvoyant Brewing - Boise,micro
cloud-9-brewery-boise,Cloud 9 Brewery,brewpub
edge-brewing-company-pub-on-10th-boise,Edge Brewing Company - Pub on 10th,brewpub
highlands-hollow-brewhouse-boise,Highlands Hollow Brewhouse,brewpub
payette-brewing-co-boise,Payette Brewing Co,micro
white-dog-brewing-boise-boise,White Dog Brewing Boise,micro
woodland-empire-ale-craft-boise,Woodland Empire Ale Craft,micro
10-barrel-brewing-co-denver-denver,10 Barrel Brewing Co - Denver,large
14er-brewing-company-denver,14er Brewing Company,proprietor
bierstadt-lagerhaus-denver,Bierstadt Lagerhaus,brewpub
black-shirt-brewing-co-denver,Black Shirt Brewing Co,brewpub
epic-brewing-co-llc-denver,"Epic Brewing Co., LLC",micro
great-divide-brewing-co-denver,Great Divide Brewing Co,regional
odell-brewing-co-denver-denver,Odell Brewing Co - Denver,micro
our-mutual-friend-brewing-denver,Our Mutual Friend Brewing,micro
ratio-beerworks-denver,Ratio Beerworks,micro
river-north-brewery-rino-denver,River North Brewery - RiNo,planning
spangalang-brewery-denver,Spangalang Brewery,micro
the-sandlot-brewery-at-coors-field-denver,The Sandlot Brewery At Coors Field,large
woods-boss-brewing-company-denver,Woods Boss Brewing Company,micro
10-barrel-brewing-co-portland,10 Barrel Brewing Co,large
back-pedal-brewing-company-portland,Back Pedal Brewing Company,micro
bridgeport-brewing-co-portland,BridgePort Brewing Co,regional
deschutes-brewery-and-public-house-portland,Deschutes Brewery & Public House,brewpub
kells-brew-pub-portland,Kells Brew Pub,brewpub
lucky-labrador-beer-hall-portland,Lucky Labrador Beer Hall,brewpub
mcmenamins-crystal-ballroom-brewery-portland,McMenamins Crystal Ballroom Brewery,brewpub
