id,longitude,latitude
10-56-brewing-company-knox,-86.627954,41.289715
10-barrel-brewing-co-bend-1,-121.28170597038259,44.08683530625218
10-barrel-brewing-co-bend-pub-bend,-121.2809536,44.0912109
bend-brewing-high-desert-bend,-121.29148420219094,44.08727606764976
bevel-craft-brewing-bend,-121.29175161753496,44.04614867770373
boneyard-beer-co-bend-2,-121.3065352839469,44.070947338720586
bridge-99-brewery-bend,-121.29167066171219,44.0910373841613
craft-kitchen-and-brewery-bend,-121.29036511383369,44.087193179112454
crux-fermentation-project-crux2-bend,-121.28244691568368,44.08947728514322
goodlife-brewing-company-bend,-121.33029415986336,44.05138310675641
monkless-belgian-ales-bend,-121.31791635986342,44.05020630334752
oblivion-brewing-co-bend,-121.29338294636945,44.08881820777285
worthy-brewing-company-bend,-121.2603915,44.0553542
10-barrel-brewing-co-bend-2,-121.32880209261799,44.057564901366796
bend-brewing-co-bend,-121.3139312,44.06051115
boneyard-beer-co-bend-1,-121.3080908310276,44.05412648135139
deschutes-brewery-and-public-house-bend,-121.3113845,44.05941415
mcmenamins-old-st-francis-school-bend,-121.314499,44.0566885
riverbend-brewing-pub-bend,-121.30518337335555,44.07600989599612
silver-moon-brewing-bend,-121.3079151,44.0603904
10-barrel-brewing-co-boise-boise,-116.202929,43.618516
barbarian-brewing-downtown-taproom-boise,-116.206883,43.618407
boise-brewing-boise,-116.203056,43.611778
clairvoyant-brewing-boise-boise,-116.225417,43.622812
cloud-9-brewery-boise,-116.2116802,43.62441063
edge-brewing-company-pub-on-10th-boise,-116.206021,43.623807
highlands-hollow-brewhouse-boise,-116.208703,43.643125
payette-brewing-co-boise,-116.2145033,43.61301363
white-dog-brewing-boise-boise,-116.2062186,43.61122761
woodland-empire-ale-craft-boise,-116.2086811,43.616091
10-barrel-brewing-co-denver-denver,-104.9853655,39.7592508
14er-brewing-company-denver,-104.9839636,39.7614112
bierstadt-lagerhaus-denver,-104.9838084,39.7630094
black-shirt-brewing-co-denver,-104.9729604,39.7698142
epic-brewing-co-llc-denver,-104.9813405,39.7632294
great-divide-brewing-co-denver,-104.9885279,39.7539229
odell-brewing-co-denver-denver,-104.9810078,39.7621447
our-mutual-friend-brewing-denver,-104.9825596,39.7605777
ratio-beerworks-denver,-104.9812181,39.7615104
river-north-brewery-rino-denver,,
spangalang-brewery-denver,-104.9770361,39.7552227
the-sandlot-brewery-at-coors-field-denver,-104.9926484,39.75571836
woods-boss-brewing-company-denver,-104.9845374,39.7509153
10-barrel-brewing-co-portland,-122.6855056,45.5259786
back-pedal-brewing-company-portland,-122.6856562,45.52597595
bridgeport-brewing-co-portland,-122.6848601,45.53133335
deschutes-brewery-and-public-house-portland,-122.6818808,45.52468
kells-brew-pub-portland,-122.6941546,45.52447285
lucky-labrador-beer-hall-portland,-122.6917362,45.53370375
mcmenamins-crystal-ballroom-brewery-portland,-122.6850673,45.5228146
pints-brewing-company-and-urban-taproom-portland,-122.6754225,45.5261944
von-ebert-brewing-portland-2,-122.6843058,45.52389727
10-barrel-brewing-co-san-diego,-117.129593,32.714813
ballast-point-brewing-company-little-italy-san-diego,-117.169738,32.727777
half-door-brewing-company-san-diego,-117.156268,32.710248
karl-strauss-brewing-co-downtown-san-diego,-117.1672838,32.71730086
knotty-brewing-co-san-diego,-117.127434,32.711658
mission-brewery-san-diego,-117.0682152,32.6220746
monkey-paw-brewing-san-diego,-117.149375,32.71384441
resident-brewing-san-diego,-117.1608785,32.71667995
tenacious-brewing-company-san-diego,-117.1627714,32.7174209
the-bell-marker-san-diego,-117.0763473,32.597261
10-torr-distilling-and-brewing-reno,-119.7732015,39.5171702
great-basin-brewing-co-production-facility-reno,,
great-basin-brewing-co-reno,-119.789957,39.4762338
imbib-custom-brews-reno,-119.8010403,39.52744792
reno-brewery-reno,,
silver-peak-restaurant-and-brewery-reno,-119.8060433,39.51395749
under-the-rose-brewing-company-midtown-location-reno,-119.8072604,39.51387478
101-brewery-quilcene,-122.87558226136872,47.823475773720666
101-north-brewing-company-petaluma,-122.66505504468803,38.270293813150886
henhouse-brewing-company-palace-of-barrels-petaluma,-122.66372447167362,38.27235234547902
lagunitas-brewing-co-petaluma,-122.6619198,38.27264795
105-west-brewing-co-castle-rock,-104.8667206,39.38269495
burly-brewing-company-llc-castle-rock,,
rockyard-brewing-company-castle-rock,-104.8723394,39.4096188
10k-brewing-anoka,-93.38952559,45.19812039
10th-district-brewing-company-abington,-70.94594149,42.10591754
11-below-brewing-company-houston,-95.5186591,29.9515464
stained-glass-beerworks-houston,,
1188-brewing-co-john-day,-118.9218754,44.4146563
12-gates-brewing-company-williamsville,,
buffalo-brewpub-buffalo,-78.831057,42.946564
hofbrauhaus-buffalo-buffalo,,
12-west-brewing-company-gilbert,,
desert-monks-brewing-co-gilbert,-111.7890239,33.3528259
12-west-brewing-company-production-facility-mesa,-111.5860662,33.436188
122-west-brewing-co-bellingham,-122.485982,48.7621709
aslan-brewing-company-bellingham,-122.4754509,48.74801531
boundary-bay-brewery-and-bistro-bellingham,-122.4809958,48.7475046
chuckanut-brewery-north-nut-bellingham,-122.4851164,48.7533261
gruff-brewing-company-bellingham,-122.4822547,48.7472243
kulshan-brewing-co-sunnyland-bellingham,-122.4645645,48.7601273
melvin-brewing-bellingham-bellingham,-122.485982,48.7621709
menace-brewing-bellingham,-122.4862211,48.76355086
stones-throw-brewery-bellingham,-122.497165,48.718516
structures-brewing-bellingham,-122.4744507,48.74988055
twin-sisters-brewing-company-bellingham,-122.468971,48.760265
wander-brewing-bellingham,-122.4737559,48.75410947
127-brewing-jackson,-84.43116792,42.28667212
grand-river-brewery-jackson,-84.406597,42.249334
sandhill-crane-vineyards-jackson,,
12degree-brewing-louisville,-105.1319826,39.9782443
crystal-springs-brewing-co-louisville,-105.119781,39.964883
gravity-brewing-louisville,,
redgarden-brewery-louisville,-105.1138827,39.9674475
12welve-eyes-brewing-saint-paul,,
barrel-theory-beer-company-saint-paul,-93.08803482,44.95106551
joseph-wolf-brewing-company-saint-paul,,
stacked-deck-brewing-saint-paul,,
tin-whiskers-brewing-saint-paul,,
13-below-brewery-cincinnati,-84.70634815,39.12639764
13-stripes-brewery-taylors,,
13-virtues-brewing-co-portland,-122.6487531,45.4762536
alameda-brewing-co-portland-1,-122.6412495,45.48882655
gigantic-brewing-co-portland,-122.6392092,45.48500105
grixsen-brewing-co-portland,-122.65545411748921,45.50523370265883
hopworks-urban-brewery-portland,-122.634827,45.4968753
laurelwood-public-house-and-brewery-se-portland-portland,-122.6484951,45.47415655
portland-u-brew-and-pub-portland,-122.649393,45.47740515
ruse-brewing-llc-portland,-122.6470059,45.4593922
super-brewing-company-llc-portland,,
1323-r-and-d-raleigh,,
boylan-bridge-brewpub-raleigh,-78.649139,35.778465
brices-brewing-company-raleigh,-78.65871577,35.72493108
little-city-brewing-co-raleigh,,
tobacco-road-brewery-raleigh,-78.64598965,35.78269753
trophy-brewing-company-raleigh,-78.65744714,35.76136262
14-cannons-brewing-company-westlake-village,-118.802397,34.15334
figueroa-mountain-brewing-westlake-village-westlake-village,-118.79542916013615,34.14758662155248
five-threads-brewing-company-westlake-village,-118.801724,34.1529112
westlake-brewing-and-libation-thousand-oaks,-118.809516,34.161542
14-lakes-brewery-crosslake,,
14th-star-brewing-saint-albans,,
mill-river-brewing-bbq-and-smokehouse-saint-albans-city,,
16-lots-brewing-mason,-84.3183801,39.3545967
the-common-beer-company-mason,,
16-mile-brewing-co-georgetown,-75.37816436,38.6788938
16-stone-brewpub-holland-patent,-75.2565195,43.24211175
1623-brewing-co-llc-westminister,,
johanssons-dining-house-westminster,-76.9959315,39.5753896
1717-brewing-co-des-moines,-93.6120353,41.5872267
court-avenue-brewing-co-des-moines,-93.620995,41.585503
