postal_code,county,ZHVI
46534,Starke County,173227.0
97701,Deschutes County,614237.0
97701,Deschutes County,614237.0
97701,Deschutes County,614237.0
97701,Deschutes County,614237.0
97701,Deschutes County,614237.0
97701,Deschutes County,614237.0
97701,Deschutes County,614237.0
97701,Deschutes County,614237.0
97701,Deschutes County,614237.0
97701,Deschutes County,614237.0
97701,Deschutes County,614237.0
97701,Deschutes County,614237.0
97703,Deschutes County,1013374.0
97703,Deschutes County,1013374.0
97703,Deschutes County,1013374.0
97703,Deschutes County,1013374.0
97703,Deschutes County,1013374.0
97703,Deschutes County,1013374.0
97703,Deschutes County,1013374.0
83702,Ada County,728951.0
83702,Ada County,728951.0
83702,Ada County,728951.0
83702,Ada County,728951.0
83702,Ada County,728951.0
83702,Ada County,728951.0
83702,Ada County,728951.0
83702,Ada County,728951.0
83702,Ada County,728951.0
83702,Ada County,728951.0
80205,Denver County,675461.0
80205,Denver County,675461.0
80205,Denver County,675461.0
80205,Denver County,675461.0
80205,Denver County,675461.0
80205,Denver County,675461.0
80205,Denver County,675461.0
80205,Denver County,675461.0
80205,Denver County,675461.0
80205,Denver County,675461.0
80205,Denver County,675461.0
80205,Denver County,675461.0
80205,Denver County,675461.0
97209,Multnomah County,464253.0
97209,Multnomah County,464253.0
97209,Multnomah County,464253.0
97209,Multnomah County,464253.0
97209,Multnomah County,464253.0
97209,Multnomah County,464253.0
97209,Multnomah County,464253.0
97209,Multnomah County,464253.0
97209,Multnomah County,464253.0
92101,San Diego County,777447.0
92101,San Diego County,777447.0
92101,San Diego County,777447.0
92101,San Diego County,777447.0
92101,San Diego County,777447.0
92101,San Diego County,777447.0
92101,San Diego County,777447.0
92101,San Diego County,777447.0
92101,San Diego County,777447.0
92101,San Diego County,777447.0
89502,Washoe County,407696.0
89502,Washoe County,407696.0
89502,Washoe County,407696.0
89502,Washoe County,407696.0
89502,Washoe County,407696.0
89502,Washoe County,407696.0
89502,Washoe County,407696.0
98376,Jefferson County,523159.0
94954,Sonoma County,857629.0
94954,Sonoma County,857629.0
94954,Sonoma County,857629.0
80109,Douglas County,705328.0
80109,Douglas County,705328.0
80109,Douglas County,705328.0
55303,Anoka County,364872.0
2351,Plymouth County,517223.0
77066,Harris County,258394.0
77066,Harris County,258394.0
97845,Grant County,266365.0
14221,Erie County,366755.0
14221,Erie County,366755.0
14221,Erie County,366755.0
85296,Maricopa County,532203.0
85296,Maricopa County,532203.0
85207,Maricopa County,542521.0
98225,Whatcom County,680211.0
98225,Whatcom County,680211.0
98225,Whatcom County,680211.0
98225,Whatcom County,680211.0
98225,Whatcom County,680211.0
98225,Whatcom County,680211.0
98225,Whatcom County,680211.0
98225,Whatcom County,680211.0
98225,Whatcom County,680211.0
98225,Whatcom County,680211.0
98225,Whatcom County,680211.0
98225,Whatcom County,680211.0
49201,Jackson County,233804.0
49201,Jackson County,233804.0
49201,Jackson County,233804.0
80027,Boulder County,849145.0
80027,Boulder County,849145.0
80027,Boulder County,849145.0
80027,Boulder County,849145.0
55101,Ramsey County,205996.0
55101,Ramsey County,205996.0
55101,Ramsey County,205996.0
55101,Ramsey County,205996.0
55101,Ramsey County,205996.0
45233,Hamilton County,314458.0
29687,Greenville County,303740.0
97202,Multnomah County,658578.0
97202,Multnomah County,658578.0
97202,Multnomah County,658578.0
97202,Multnomah County,658578.0
97202,Multnomah County,658578.0
97202,Multnomah County,658578.0
97202,Multnomah County,658578.0
97202,Multnomah County,658578.0
97202,Multnomah County,658578.0
27603,Wake County,412522.0
27603,Wake County,412522.0
27603,Wake County,412522.0
27603,Wake County,412522.0
27603,Wake County,412522.0
27603,Wake County,412522.0
91362,Ventura County,1165132.0
91362,Ventura County,1165132.0
91362,Ventura County,1165132.0
91362,Ventura County,1165132.0
56442,Crow Wing County,446814.0
5478,Franklin County,336058.0
5478,Franklin County,336058.0
45040,Warren County,429211.0
45040,Warren County,429211.0
19947,Sussex County,316645.0
13354,Oneida County,249835.0
21157,Carroll County,422218.0
21157,Carroll County,422218.0
50309,Polk County,248746.0
50309,Polk County,248746.0
50309,Polk County,248746.0
50309,Polk County,248746.0
50309,Polk County,248746.0
22553,Spotsylvania County,453656.0
15108,Allegheny County,271834.0
15108,Allegheny County,271834.0
38860,Chickasaw County,94846.0
53207,Milwaukee County,251431.0
53207,Milwaukee County,251431.0
53207,Milwaukee County,251431.0
53207,Milwaukee County,251431.0
53207,Milwaukee County,251431.0
95338,Mariposa County,
95338,Mariposa County,
46403,Lake County,144887.0
46320,Lake County,135645.0
62510,Shelby County,100814.0
85745,Pima County,354878.0
85745,Pima County,354878.0
